,Id,NOME,FAZ,TAL,dosismad,semsmad,edad,cortes,me,vejez,sacarosa,mes,periodo,TCH,lluvias,grupo_tenencia,pct_diatrea,catSac
0,11,AMAIME SILCA,81291,40,0.8,8.3,12.3,4,12.7,2.4,14.0,12,202012,112,137,3,6.2,2
1,12,AMAIME SILCA,81291,41,0.8,6.3,11.2,2,7.8,2.3,13.0,3,201903,157,0,3,3.5,1
2,13,AMAIME SILCA,81291,41,0.6,7.9,12.2,3,8.8,1.8,13.3,3,202003,167,68,3,4.3,2
3,15,AMAIME SILCA,81291,43,0.8,6.6,13.1,1,6.1,2.5,13.4,3,201903,156,0,3,3.5,2
4,16,AMAIME SILCA,81291,43,0.6,8.1,12.2,2,7.9,2.1,14.0,3,202003,151,68,3,4.3,2
5,22,ARANJUEZ,80552,1,1.2,7.6,12.8,1,8.2,12.3,12.8,1,201901,155,10,3,4.4,1
6,23,ARANJUEZ,80552,1,1.2,8.4,12.1,2,8.3,2.7,12.5,1,202001,115,8,3,4.4,1
7,24,ARANJUEZ,80552,1,0.8,6.0,11.8,3,12.4,2.4,12.9,1,202101,146,134,3,4.4,1
8,25,ARANJUEZ,80552,2,1.2,8.9,12.2,2,10.4,12.5,12.6,1,202001,145,8,3,4.4,1
9,26,ARANJUEZ,80552,2,0.8,6.7,11.9,3,9.5,2.2,12.7,1,202101,138,119,3,4.4,1
10,28,ARANJUEZ,80552,3,1.2,7.7,12.4,1,12.1,4.1,12.5,1,201901,157,0,3,4.4,1
11,29,ARANJUEZ,80552,3,1.2,8.4,12.1,2,10.1,2.9,13.3,1,202001,116,8,3,4.4,2
12,30,ARANJUEZ,80552,3,0.8,6.1,11.8,3,10.3,2.3,12.9,1,202101,155,134,3,4.4,1
13,31,ARANJUEZ,80552,4,1.2,8.7,12.1,2,10.7,8.3,12.3,1,202001,147,8,3,4.4,0
14,32,ARANJUEZ,80552,4,0.8,7.0,12.0,3,9.6,2.9,12.7,1,202101,144,134,3,4.4,1
15,34,ARANJUEZ,80552,5,1.2,8.0,12.3,1,9.4,6.7,12.5,1,201901,147,0,3,4.4,1
16,35,ARANJUEZ,80552,5,1.2,8.6,12.0,2,7.5,2.0,13.3,1,202001,116,8,3,4.4,2
17,36,ARANJUEZ,80552,5,0.8,6.3,11.8,3,11.2,2.2,13.1,1,202101,153,134,3,4.4,2
18,37,ARANJUEZ,80552,6,1.2,13.1,13.1,1,6.3,8.1,13.1,9,201709,151,0,3,7.7,2
19,38,ARANJUEZ,80552,6,0.8,9.3,12.0,4,9.2,3.5,12.9,9,202009,141,54,3,5.1,1
20,39,ARANJUEZ,80552,7,1.2,13.3,13.4,1,7.1,8.6,11.9,9,201709,139,0,3,7.7,0
21,40,ARANJUEZ,80552,7,1.2,9.7,12.2,3,6.8,2.2,13.3,9,201909,152,0,3,3.7,2
22,41,ARANJUEZ,80552,7,0.8,9.4,11.7,4,8.1,2.3,13.7,9,202009,136,30,3,2.9,2
23,43,ARANJUEZ,80552,8,1.2,8.1,11.9,3,11.0,8.2,12.9,9,201909,155,0,3,4.4,1
24,44,ARANJUEZ,80552,8,0.8,9.9,12.2,4,7.1,3.2,12.9,9,202009,130,54,3,1.3,1
25,46,ARANJUEZ,80552,9,1.0,7.7,11.8,2,8.9,2.3,12.6,9,201809,157,113,3,4.1,1
26,47,ARANJUEZ,80552,9,1.2,8.3,12.0,3,6.5,13.7,12.1,9,201909,150,0,3,3.7,0
27,48,ARANJUEZ,80552,9,0.8,9.4,12.0,4,8.0,2.3,13.0,9,202009,127,54,3,1.9,1
28,50,ARANJUEZ,80552,10,0.8,9.0,12.6,1,9.5,6.8,13.0,11,201811,176,135,3,4.4,1
29,51,ARANJUEZ,80552,10,1.2,9.0,14.0,2,9.6,2.6,12.0,1,202001,173,8,3,4.4,0
30,52,ARANJUEZ,80552,10,0.8,7.1,11.9,3,8.2,2.9,12.8,1,202101,139,119,3,4.4,1
31,53,ARANJUEZ,80552,11,0.8,9.1,12.5,1,9.7,4.1,13.1,11,201811,183,135,3,4.4,2
32,54,ARANJUEZ,80552,11,1.2,9.1,14.0,2,9.4,2.7,12.4,1,202001,169,8,3,4.4,0
33,55,ARANJUEZ,80552,12,0.8,9.3,12.5,1,9.2,7.4,13.7,11,201811,160,135,3,4.4,2
34,56,ARANJUEZ,80552,12,1.2,9.3,14.0,2,8.9,2.0,12.5,1,202001,176,8,3,4.4,1
35,57,ARANJUEZ,80552,12,0.8,7.9,12.0,3,9.8,2.7,12.9,1,202101,138,104,3,4.4,1
36,58,AURORA CUCALON,80601,990,1.0,8.0,13.1,1,12.4,1.5,13.1,4,201604,138,199,3,3.7,2
37,59,AURORA CUCALON,80601,990,1.4,7.4,12.1,3,9.4,17.9,12.8,6,201806,116,315,3,4.0,1
38,60,AURORA CUCALON,80601,990,1.0,11.9,13.0,4,8.9,1.9,12.5,7,201907,113,320,3,4.8,1
39,61,AURORA CUCALON,80601,990,0.8,6.1,11.5,5,10.0,1.2,12.3,6,202006,98,62,3,2.6,0
40,63,AURORA CUCALON,80601,990A,1.4,6.9,12.0,4,7.7,19.2,12.0,5,201805,109,315,3,4.0,0
41,64,AURORA CUCALON,80601,990A,1.0,12.3,13.2,5,9.4,1.7,13.1,7,201907,126,345,3,4.8,2
42,65,AURORA CUCALON,80601,990A,0.8,5.9,11.3,6,10.1,1.2,13.0,6,202006,110,62,3,2.6,1
43,66,AURORA CUCALON,80601,991,0.8,11.4,12.7,2,9.7,1.9,14.8,9,201509,150,42,3,2.3,2
44,70,AURORA CUCALON,80601,991B,1.5,8.3,14.3,1,8.1,15.3,13.4,8,201808,144,331,3,5.6,2
45,71,AURORA CUCALON,80601,991B,1.2,15.1,13.8,2,8.5,1.5,13.2,10,201910,123,160,3,3.1,2
46,72,AURORA CUCALON,80601,991B,0.8,10.9,12.5,3,8.7,2.5,14.0,10,202010,114,118,3,3.1,2
47,73,AURORA CUCALON,80601,991C,1.0,11.9,12.8,6,11.4,7.6,12.9,12,201912,112,369,3,3.1,1
48,74,AURORA CUCALON,80601,991C,1.0,10.9,13.5,7,11.0,1.6,12.6,1,202101,127,203,3,3.1,1
49,75,AURORA CUCALON,80601,991D,1.0,11.3,12.6,3,10.1,1.6,12.5,10,201610,138,192,3,3.1,1
