,Período,Hacienda,Zona,Tenencia,Suerte,Suelo,Area Neta,Dist Km,Variedad,Cod.Estado #,Cod.Estado,Edad Ult Cos,Destino 1=Semilla,Cod. T.Cultivo,Producto,Dosis Madurante,TonUltCorte,TCH,TCHM,Ton.Azucar,Rdto,TAH,TAHM,Sac.Caña Precosecha,%Sac.Caña,%Sac.Muestreadora,%ATR,KATRHM,%Fibra Caña,%AR Jugo,%ME Min,%ME Veg,%ME Tot,Brix,Pureza,Vejez,Tipo Quema,T.Corte,Cerca de,Cosechó,Num.Riegos,M3 Riego,DDUlt.Riego,Lluvias (2 Meses Ant.),Lluvias Ciclo,Lluvias 0 -3,Lluvias tres a seis,Lluvias seis a nueve,Luvias 9 -FC,%Infest.Diatrea,Fosfato Jugo,NITO_XTEND,Vinaza,Codigo Estacion,Temp. Media 0-3,Temp. Media Ciclo,Temp Max Ciclo,Temp Min Ciclo,Humedad Rel Media 0-3 ,Humedad Rel Media Ciclo,Oscilacion Temp Med 0-3,Oscilacion Temp Ciclo,Radicion Solar 0-3,Radiacion Solar Ciclo,Precipitacion 0_3,Precipitacion Ciclo,Evaporacion 0-3,Evaporacion Ciclo,DS_indicator,catSac,Mes Siembra,Ano Siembra,Mes Ult.Corte,Ano Ult.Corte
13972,202202,80101,0,11.0,0,0,0.24015384615384613,0.02552204176334107,0,2,0,0.36303431667670083,0,2.0,0,0.0,0.1716660444893388,0.45230418841347453,0.39192192880478155,0.12891180778825967,0.5599656593406593,0.34680929690656087,0.3366372453037998,0.0,0.5472810011376564,0.5926226484691997,0.6140627660178196,0.3453381384603219,0.5454453747604157,0.4091139240506329,0.012875885289678394,0.60468,0.6120733333333334,0.6726283390128615,0.8702184661339408,0.009853591382913413,0,0,0,0,0.0,263501.46,43,243.0,1388.0,456.0,178.0,361.0,393.0,0.0,0.002925149605869431,0.0,93660.0,0,22.718,22.763,33.5,15.1,83.165,81.756,14.8,22.763,419.966,422.141,510.8,1523.1,420.8,1744.2,True,0,11,2017,11,2022
13973,202202,80101,0,11.0,1,0,0.09938461538461539,0.02552204176334107,1,0,1,0.36393738711619505,0,2.0,0,0.0,0.08692507014275169,0.5534286597597937,0.47835642737575307,0.0627585085636006,0.5383653846153845,0.40798201246198773,0.3950330416692162,0.0,0.5237883959044369,0.5697405631378336,0.5906134725611486,0.40540319805896907,0.5315915128282725,0.4272573839662447,0.06704980842911878,0.7257933333333334,0.7642933333333333,0.6390513356051445,0.872644763756103,0.009450518104191343,0,0,0,0,0.0,61068.3,119,210.0,1232.0,402.0,218.0,296.0,316.0,0.0,0.0034831902265714384,0.0,0.0,0,22.718,22.763,33.5,15.1,83.165,81.756,14.8,22.763,419.966,422.141,510.8,1523.1,420.8,1744.2,True,0,2,2021,2,2022
13974,202202,80102,0,11.0,2,1,0.2023076923076923,0.02088167053364269,0,2,0,0.356110776640578,0,2.0,0,0.0,0.17698819439635005,0.5535637727852993,0.48898910799102335,0.1323696090000848,0.5576923076923076,0.42273040326063,0.418309444410451,0.0,0.5414789533560865,0.5949834009590558,0.609034674536065,0.4273398668470314,0.5030027909479136,0.4375527426160337,0.052374317891559274,0.5388266666666667,0.5689,0.6577498076288887,0.8769045829207635,0.014405218868790346,0,0,0,0,0.0,161373.6,50,212.0,1100.0,363.0,168.0,321.0,248.0,0.0,0.0030703905484570715,0.0,78900.0,0,22.734,22.763,33.5,15.1,83.297,81.713,14.8,22.763,423.232,423.395,468.1,1422.3,421.7,1716.2,True,0,4,2019,4,2022
13975,202202,80102,0,11.0,3,2,0.01769230769230769,0.02088167053364269,2,5,2,0.3669476219145093,0,2.0,0,0.0,0.014452109518975284,0.5168714192668756,0.44309321526003653,0.011425913205688998,0.5895398351648352,0.41724774673914455,0.40069066266903264,0.0,0.5703924914675769,0.6338989302840281,0.6425004256285115,0.4085081333363471,0.4537812300346346,0.4345991561181434,0.0,0.6106666666666667,0.6106666666666667,0.6890458392876773,0.8832330471008613,0.01137906871469233,0,0,0,0,0.0,13203.0,37,284.0,1517.0,483.0,182.0,418.0,434.0,0.0,0.003082209395183025,0.0,6900.0,0,22.67,22.763,33.5,15.1,82.978,81.721,14.8,22.763,420.229,422.446,505.4,1530.9,423.4,1765.5,True,0,7,2016,7,2022
13976,202202,80102,0,11.0,4,3,0.3169230769230769,0.02088167053364269,2,2,0,0.35791691751956656,0,2.0,0,0.0,0.19463494519490482,0.3885999218417556,0.34153650456877477,0.15012302615560183,0.5751442307692308,0.3060419804612309,0.3013128709539252,0.0,0.5565699658703072,0.6055330136481004,0.6245445774927644,0.3060784643216062,0.524143380745822,0.4259493670886076,0.008104028793683967,0.7248866666666667,0.72954,0.6718753435198417,0.8801985192740535,0.008619567037287378,0,0,0,0,0.0,248716.5,44,348.0,1627.0,562.0,185.0,497.0,383.0,0.0,0.0031773188629284255,0.0,123600.0,0,22.716,22.757,33.5,15.1,83.352,81.747,14.8,22.757,421.505,422.965,459.5,1430.4,420.0,1719.1,True,0,10,2018,10,2022
13977,202202,80103,0,11.0,5,2,0.1733846153846154,0.052204176334106726,1,0,1,0.38169777242624925,0,2.0,0,0.0,0.16299553890410082,0.5948410278677562,0.49022781473819993,0.11838437836202127,0.5415865384615385,0.44113488935146034,0.4072592241326562,0.0,0.5255574516496019,0.580652895610476,0.5960558424607003,0.41929249360032866,0.5198560812401224,0.46527426160337554,0.040659468245675144,0.6027266666666667,0.6261,0.6376387820160493,0.8707979958207631,0.011980578069092961,0,0,0,0,0.0,151534.2,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00396206468162525,0.0,24.0,1,23.042,23.036,34.1,14.5,83.451,82.651,16.4,23.036,428.951,428.566,515.2,1581.5,406.4,1730.6,True,0,12,2020,12,2022
13981,202202,80105,1,11.0,6,0,0.14707692307692308,0.08120649651972157,3,7,3,0.36393738711619505,0,2.0,0,0.0,0.11035131341352383,0.4747541054788929,0.4103540260473994,0.08842791787469302,0.5975343406593407,0.38844758825771236,0.3761185981765894,0.0,0.5761092150170649,0.6355096520349195,0.6444412916406561,0.3794672174084739,0.49170449577995223,0.42881856540084384,0.0034598862185069084,0.60562,0.6076066666666667,0.6910190172584368,0.8900869515303448,0.010169848878526115,0,0,0,0,0.0,61000.2,131,83.0,977.0,338.0,181.0,272.0,186.0,0.0,0.003530152522227435,0.0,57360.0,2,23.042,23.023,34.7,14.9,81.681,80.691,14.1,23.023,441.676,449.711,377.3,1077.3,488.7,2016.4,True,0,12,2013,12,2022
13982,202202,80113,1,11.0,7,2,0.1672307692307692,0.06380510440835267,0,2,0,0.3600240818783865,0,2.0,0,0.0,0.14914772967211537,0.5643339997047355,0.49308445603081097,0.1183804888218505,0.5918543956043956,0.45735300334270634,0.44765075261579884,0.0,0.5686234357224118,0.6158367146194518,0.636064922535611,0.4500439822581644,0.5393691785197887,0.42316455696202526,0.10137002205967724,0.6418333333333333,0.7000866666666667,0.6775255578762229,0.8905980415208185,0.01212940512585188,0,0,0,0,0.0,64930.74,135,83.0,977.0,338.0,196.0,273.0,170.0,0.0,0.0030018145203267272,0.0,65220.0,2,23.042,23.012,34.7,14.9,81.769,80.743,14.1,23.012,441.991,449.852,378.9,1077.2,488.2,1999.4,True,0,5,2019,5,2022
13984,202202,80677,0,51.0,8,0,0.07123076923076922,0.10092807424593966,2,4,4,0.42414208308248047,0,1.0,0,0.0,0.03574577665466794,0.3175359206606977,0.23550391123361528,0.029895005752629912,0.6236263736263736,0.27115558223337943,0.2252818484978278,0.0,0.6006825938566553,0.7966277411354814,0.6912207025707963,0.23358614551873835,0.5185770234501655,0.3113161820361602,0.07390339010680355,0.517401322490979,0.5733840838383314,0.0,0.0,0.07634850352961008,1,1,1,1,4.4064,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3385293823897728,0.0023355803089659625,0.0,0.0,3,22.63,22.744,34.3,14.6,84.418,83.944,15.2,22.744,422.647,416.254,418.6,1721.1,405.2,1927.6,False,0,11,2016,11,2022
13986,202202,80101,0,11.0,9,0,0.10076923076923076,0.02552204176334107,0,2,0,0.35791691751956656,0,2.0,0,0.0,0.08400491886075671,0.5274879349723407,0.4636037509103173,0.06471027982129897,0.5744093406593407,0.4148899630146832,0.408479165391911,0.0,0.548566552901024,0.586972826755195,0.6095794790307021,0.40551739665536496,0.5724267796496183,0.35789029535864975,0.08562637872982702,0.5808533333333333,0.6300066666666667,0.6467791579641641,0.9045487009152154,0.010678341322452422,0,0,0,0,0.0,47066.4,126,226.0,1127.0,363.0,168.0,321.0,275.0,0.0,0.003363193483416174,0.0,39300.0,0,22.734,22.76,33.5,15.1,83.297,81.736,14.8,22.76,423.232,422.991,468.1,1453.1,421.7,1719.0,True,0,4,2019,4,2022
